Customer ID,Country,City,State,Postal Code,Region
CG-12520,United States,Henderson,Kentucky,42420,South
CG-12520,United States,Henderson,Kentucky,42420,South
DV-13045,United States,Los Angeles,California,90036,West
SO-20335,United States,Fort Lauderdale,Florida,33311,South
SO-20335,United States,Fort Lauderdale,Florida,33311,South
BH-11710,United States,Los Angeles,California,90032,West
BH-11710,United States,Los Angeles,California,90032,West
BH-11710,United States,Los Angeles,California,90032,West
BH-11710,United States,Los Angeles,California,90032,West
BH-11710,United States,Los Angeles,California,90032,West
BH-11710,United States,Los Angeles,California,90032,West
BH-11710,United States,Los Angeles,California,90032,West
AA-10480,United States,Concord,North Carolina,28027,South
IM-15070,United States,Seattle,Washington,98103,West
HP-14815,United States,Fort Worth,Texas,76106,Central
HP-14815,United States,Fort Worth,Texas,76106,Central
PK-19075,United States,Madison,Wisconsin,53711,Central
AG-10270,United States,West Jordan,Utah,84084,West
ZD-21925,United States,San Francisco,California,94109,West
ZD-21925,United States,San Francisco,California,94109,West
ZD-21925,United States,San Francisco,California,94109,West
KB-16585,United States,Fremont,Nebraska,68025,Central
KB-16585,United States,Fremont,Nebraska,68025,Central
SF-20065,United States,Philadelphia,Pennsylvania,19140,East
EB-13870,United States,Orem,Utah,84057,West
EH-13945,United States,Los Angeles,California,90049,West
EH-13945,United States,Los Angeles,California,90049,West
TB-21520,United States,Philadelphia,Pennsylvania,19140,East
TB-21520,United States,Philadelphia,Pennsylvania,19140,East
TB-21520,United States,Philadelphia,Pennsylvania,19140,East
TB-21520,United States,Philadelphia,Pennsylvania,19140,East
TB-21520,United States,Philadelphia,Pennsylvania,19140,East
TB-21520,United States,Philadelphia,Pennsylvania,19140,East
TB-21520,United States,Philadelphia,Pennsylvania,19140,East
MA-17560,United States,Houston,Texas,77095,Central
GH-14485,United States,Richardson,Texas,75080,Central
GH-14485,United States,Richardson,Texas,75080,Central
SN-20710,United States,Houston,Texas,77041,Central
SN-20710,United States,Houston,Texas,77041,Central
SN-20710,United States,Houston,Texas,77041,Central
SN-20710,United States,Houston,Texas,77041,Central
LC-16930,United States,Naperville,Illinois,60540,Central
RA-19885,United States,Los Angeles,California,90049,West
ES-14080,United States,Melbourne,Florida,32935,South
ON-18715,United States,Eagan,Minnesota,55122,Central
ON-18715,United States,Eagan,Minnesota,55122,Central
PO-18865,United States,Westland,Michigan,48185,Central
LH-16900,United States,Dover,Delaware,19901,East
LH-16900,United States,Dover,Delaware,19901,East
